pct,markout_next_bps
0.0,-43.563560
0.1,-19.449100
0.2,-12.516573
0.3,-11.721135
0.4,-10.767607
0.5,-9.905603
0.6,-9.231543
0.7,-8.233689
0.8,-7.681469
0.9,-7.285122
1.0,-6.760856
1.1,-6.406990
1.2,-6.141308
1.3,-5.986248
1.4,-5.821455
1.5,-5.675380
1.6,-5.513923
1.7,-5.416623
1.8,-5.218707
1.9,-5.104840
2.0,-5.004053
2.1,-4.851909
2.2,-4.702775
2.3,-4.613852
2.4,-4.478199
2.5,-4.381497
2.6,-4.303682
2.7,-4.251485
2.8,-4.168617
2.9,-4.125946
3.0,-4.071099
3.1,-4.052216
3.2,-3.965750
3.3,-3.891331
3.4,-3.850789
3.5,-3.797423
3.6,-3.773105
3.7,-3.714985
3.8,-3.661172
3.9,-3.624201
4.0,-3.572250
4.1,-3.536834
4.2,-3.501470
4.3,-3.466064
4.4,-3.416720
4.5,-3.372613
4.6,-3.328732
4.7,-3.300984
4.8,-3.267982
4.9,-3.218636
5.0,-3.184859
5.1,-3.141086
5.2,-3.094324
5.3,-3.043529
5.4,-3.024336
5.5,-2.990161
5.6,-2.963309
5.7,-2.936368
5.8,-2.922671
5.9,-2.896198
6.0,-2.873946
6.1,-2.857458
6.2,-2.833475
6.3,-2.803213
6.4,-2.790750
6.5,-2.768446
6.6,-2.740000
6.7,-2.706299
6.8,-2.689012
6.9,-2.663251
7.0,-2.641065
7.1,-2.618952
7.2,-2.607322
7.3,-2.586201
7.4,-2.566687
7.5,-2.549236
7.6,-2.533232
7.7,-2.509712
7.8,-2.484124
7.9,-2.476429
8.0,-2.461987
8.1,-2.439714
8.2,-2.424797
8.3,-2.408947
8.4,-2.383799
8.5,-2.365556
8.6,-2.345330
8.7,-2.322704
8.8,-2.302394
8.9,-2.289882
9.0,-2.279791
9.1,-2.268307
9.2,-2.249952
9.3,-2.234388
9.4,-2.221350
9.5,-2.205973
9.6,-2.191924
9.7,-2.175515
9.8,-2.164304
9.9,-2.147783
10.0,-2.133744
10.1,-2.112715
10.2,-2.099429
10.3,-2.088113
10.4,-2.080077
10.5,-2.059176
10.6,-2.043761
10.7,-2.022129
10.8,-2.008223
10.9,-1.998779
11.0,-1.982797
11.1,-1.976666
11.2,-1.969600
11.3,-1.963874
11.4,-1.953211
11.5,-1.939848
11.6,-1.936110
11.7,-1.922113
11.8,-1.907842
11.9,-1.902380
12.0,-1.892540
12.1,-1.882763
12.2,-1.871902
12.3,-1.864001
12.4,-1.854470
12.5,-1.846315
12.6,-1.836310
12.7,-1.831161
12.8,-1.821726
