block_date,usd_amount,markout_next_bps,markout_15s_bps
2026-04-21,99.9528,8.590821,8.029097
2026-04-21,3821.5903,11.950417,14.147188
2026-04-21,175.0885,9.249721,9.292930
2026-04-21,164169.4821,8.524770,6.342076
2026-04-21,50072.8500,6.733269,5.125772
2026-04-21,1153.6986,2.937283,-0.877141
2026-04-21,8.3199,10.344436,13.499613
2026-04-21,1188.5765,4.822176,3.085881
2026-04-21,1418.1033,6.722473,3.168745
2026-04-21,502.5104,7.577723,4.866945
2026-04-21,28.9869,6.689998,5.105699
2026-04-21,5714.3684,0.291488,3.275205
2026-04-21,1802.2501,9.026308,13.511802
2026-04-21,447.7922,13.661881,11.480310
2026-04-21,422.1381,0.627289,-1.400749
2026-04-21,25.0126,7.591199,7.029316
2026-04-21,25245.6791,8.458816,11.392892
2026-04-21,8053.5084,11.343029,11.256629
2026-04-21,4979.1437,9.128509,7.806774
2026-04-21,24.9964,3.928540,3.928540
2026-04-21,10371.2409,11.804257,12.886601
2026-04-21,18.6030,0.050458,0.483269
2026-04-21,115.2511,-0.496829,5.570894
2026-04-21,27.5494,9.551085,12.219813
2026-04-21,182.0240,9.780996,11.433632
2026-04-21,9280.5440,2.420276,1.003072
2026-04-21,1850.9360,7.325911,10.959933
2026-04-21,5098.2380,4.209743,4.209743
2026-04-21,108.4902,9.740778,15.442105
2026-04-21,403.4185,9.570970,9.268030
2026-04-21,93.3046,6.510683,4.322830
2026-04-21,170.4812,1.789624,0.406156
2026-04-21,2380.4532,0.875596,-0.707220
2026-04-21,462.0827,0.206278,0.162985
2026-04-21,12729.9412,7.108357,6.202006
2026-04-21,7968.2411,1.781860,1.781860
2026-04-21,26494.8569,12.577925,10.881312
2026-04-21,30925.8921,2.826623,3.127966
2026-04-21,30414.5979,8.960214,6.185786
2026-04-21,116.0068,2.394471,1.016860
2026-04-21,439.9414,9.822143,11.474772
2026-04-21,4421.9785,7.796701,4.804744
2026-04-21,3700.2234,9.561655,12.233362
2026-04-21,1617.6398,4.171135,4.344126
2026-04-21,3510.6571,16.481132,18.331434
2026-04-21,96.1000,8.389487,6.483266
2026-04-21,0.2404,1.089815,1.908090
2026-04-21,397.5851,2.115974,6.708788
2026-04-21,24.9946,9.270840,5.270979
2026-04-21,1483.3586,8.586702,12.201891
2026-04-21,1027.0216,4.523016,6.423622
2026-04-21,7424.4352,5.015745,5.704162
2026-04-21,312.9722,-0.250396,3.027236
2026-04-21,12022.3089,5.020366,5.149866
2026-04-21,5252.8777,1.917579,-6.745422
2026-04-21,11569.6282,7.890956,10.524327
2026-04-21,10714.7849,4.056237,5.484807
2026-04-21,32295.9888,9.099861,14.247791
2026-04-21,1180.2397,-0.562014,-5.521851
2026-04-21,1386.3967,2.163750,-0.000279
2026-04-21,355.3054,3.453295,3.453295
2026-04-21,80.9521,0.375790,-0.401053
2026-04-21,6751.6971,1.687711,2.076553
2026-04-21,1388.2020,6.265964,6.439276
2026-04-21,101.7649,1.779916,4.927773
2026-04-21,20.0309,8.847412,6.205516
2026-04-21,2322.4802,0.661308,-6.751372
2026-04-21,104.2478,3.698864,6.215419
2026-04-21,164.9971,-0.832592,-1.435343
2026-04-21,11.0816,1.177057,-0.795880
2026-04-21,0.2502,-0.560140,-3.542717
2026-04-21,39903.1292,7.013187,7.013187
2026-04-21,4047.9765,5.401099,1.686831
2026-04-21,236.4388,1.986789,3.405115
2026-04-21,14.0238,5.700220,11.515881
2026-04-21,952.7605,7.695239,7.523174
2026-04-21,2890.7995,6.360836,6.230975
2026-04-21,3537.7532,0.805510,-1.004552
2026-04-21,1253.8437,9.594202,12.260174
2026-04-21,2083.6562,4.362266,1.342585
2026-04-21,193.1915,-0.894982,-0.074598
2026-04-21,38695.5965,7.029826,7.761440
2026-04-21,895.1104,1.598230,0.392719
2026-04-21,40526.2677,5.703981,4.538558
2026-04-21,27330.6666,3.609396,2.918604
2026-04-21,29082.1975,8.254659,6.350591
2026-04-21,64.1116,-0.000773,-0.259648
2026-04-21,57.7787,9.084134,7.571318
2026-04-21,39.4292,3.128463,4.548880
2026-04-21,1195.1569,6.030216,4.996159
2026-04-21,168.4058,4.060334,2.504624
2026-04-21,10440.6120,4.127344,2.965876
2026-04-21,520.5757,2.639858,2.639858
2026-04-21,6695.2046,1.632073,2.539847
2026-04-21,1852.1840,1.231550,-0.711556
2026-04-21,6478.2760,4.738946,5.475582
2026-04-21,10927.5987,9.287116,8.641494
2026-04-21,1970.3407,-0.112992,4.235885
2026-04-21,2463.7980,2.667798,2.970997
2026-04-21,1388.6751,1.464727,0.901967
2026-04-21,2072.5550,8.881883,8.838591
2026-04-21,28.8323,1.623170,-0.825344
2026-04-21,12940.8057,8.505653,3.697770
2026-04-21,1850.9360,6.104157,5.110236
2026-04-21,5568.3264,6.778723,4.326446
2026-04-21,3930.3288,8.456770,7.330330
2026-04-21,12736.6542,10.889575,3.824082
2026-04-21,31.6391,0.047234,0.480046
2026-04-21,15907.1093,1.649794,1.952733
2026-04-21,1157.4135,4.437191,6.556467
2026-04-21,13878.7764,2.682088,5.619572
2026-04-21,499.7261,0.143754,-1.843709
2026-04-21,60144.2552,6.108400,1.529525
2026-04-21,11336.6084,4.872068,6.990390
2026-04-21,1028.4896,1.725084,0.519589
2026-04-21,49563.9051,3.875046,1.444920
2026-04-21,188.3585,2.901716,1.439778
2026-04-21,69482.3589,26.588067,27.650754
2026-04-21,1577.1755,7.389410,7.389410
2026-04-21,599.3251,-0.188758,0.628597
2026-04-21,2083.6562,4.793044,4.793044
2026-04-21,16135.7341,-1.872982,0.861093
2026-04-21,2319.1965,6.931794,7.276358
2026-04-21,84480.6533,6.825476,4.271498
2026-04-21,126.9042,4.345171,5.981710
2026-04-21,3275.5541,13.260444,10.708111
2026-04-21,162.2384,-0.834485,-4.722171
2026-04-21,132.0316,0.184299,2.988976
2026-04-21,145.3146,0.513857,-0.223407
2026-04-21,57.8931,4.761025,4.890489
2026-04-21,1152.6948,5.638227,8.511183
2026-04-21,23080.6798,13.759284,11.900514
2026-04-21,469.7535,8.029675,22.768819
2026-04-21,49.9291,7.389868,5.187097
2026-04-21,10454.1876,3.841358,3.110203
2026-04-21,250.2970,8.123046,8.123046
2026-04-21,249.7776,1.135837,-0.555435
2026-04-21,224.8862,1.313300,2.605585
2026-04-21,11011.3823,3.105183,5.820963
2026-04-21,4579.8767,11.606750,8.527199
2026-04-21,6296.2379,1.176663,0.875252
2026-04-21,299.0545,0.789155,-0.029578
2026-04-21,5354.6891,4.733801,3.398610
2026-04-21,6020.4399,4.958523,5.044635
2026-04-21,100.1158,5.143635,-1.995533
2026-04-21,3292.1499,3.047375,3.564913
2026-04-21,116.0872,3.733462,10.336662
2026-04-21,6917.4728,1.827074,1.957064
2026-04-21,50.4473,-0.303363,-0.518728
2026-04-21,229.8319,8.795758,13.201403
2026-04-21,2188.9592,3.246757,8.576037
2026-04-21,7424.4352,3.471689,0.244539
2026-04-21,6969.4584,5.831230,4.496582
2026-04-21,39.3166,4.188697,3.841972
2026-04-21,1739.3615,7.176675,9.922171
2026-04-21,7270.8578,7.674010,7.287989
2026-04-21,386.5599,4.922868,4.836628
2026-04-21,574.1572,-0.812392,1.388154
2026-04-21,5098.4151,5.244487,5.632538
2026-04-21,138.7578,0.728184,1.117520
2026-04-21,1788.5459,3.984162,4.545727
2026-04-21,84.5840,3.598059,0.848266
2026-04-21,22640.5968,9.552363,10.971427
2026-04-21,5285.2104,5.299290,11.115185
2026-04-21,5090.0740,1.595009,1.551808
2026-04-21,1071.6177,3.260209,8.148029
2026-04-21,1494.8534,8.757246,12.773983
2026-04-21,3394.7863,5.460608,5.546715
2026-04-21,69.4688,7.540968,7.238942
2026-04-21,28266.8991,0.761858,1.281545
2026-04-21,3464.5032,0.941741,-0.574033
2026-04-21,25054.5631,1.720032,4.136905
2026-04-21,533.9565,3.041465,4.033062
2026-04-21,526.7789,0.536079,2.494458
2026-04-21,2697.4120,2.310773,3.388234
2026-04-21,4630.3472,9.339496,10.461429
2026-04-21,1605.3438,0.763402,-1.099448
2026-04-21,1850.9360,8.996784,8.996784
2026-04-21,6969.4584,8.777034,9.078207
2026-04-21,15.3872,3.253136,1.742685
2026-04-21,8814.3256,8.397936,3.469160
2026-04-21,99.7273,0.356009,1.832519
2026-04-21,63.9955,9.701691,11.863442
2026-04-21,1676.3232,5.358455,2.326409
2026-04-21,11571.9795,1.885325,2.922064
2026-04-21,11556.3617,6.829564,6.267639
2026-04-21,1275.2309,9.334768,5.845527
2026-04-21,63.6363,1.259666,1.433001
2026-04-21,52247.4100,11.114040,13.547106
2026-04-21,1159.0649,6.552806,3.752224
2026-04-21,8057.5814,9.578898,4.617886
2026-04-21,1041.8609,-1.660705,-5.915890
2026-04-21,827.0503,0.967345,-3.195242
2026-04-21,0.0397,1.205239,1.205239
2026-04-21,345.5978,0.939788,-1.442234
2026-04-21,1526.4231,9.485094,3.619826
2026-04-21,1921.1184,7.215495,9.503759
2026-04-21,14.9971,12.341295,12.644496
2026-04-21,3232.4470,3.092910,1.796896
2026-04-21,238.3998,1.388126,3.289369
2026-04-21,475.2582,6.358817,10.432557
2026-04-21,1694.2619,4.562220,4.432446
2026-04-21,614.2816,-2.786836,-3.913341
2026-04-21,2798.0043,-0.852178,-4.739870
2026-04-21,6926.2255,0.254515,1.034282
2026-04-21,150.0076,10.326933,11.062274
2026-04-21,3311.7696,-3.299489,-5.116198
2026-04-21,4743.8885,4.491245,5.568312
2026-04-21,499.8415,-0.196811,-1.100943
2026-04-21,14402.9404,5.717170,7.881085
2026-04-21,3912.5928,13.409986,16.215626
2026-04-21,925.4680,3.116980,8.004871
2026-04-21,578.7068,6.570024,4.666979
2026-04-21,498.7321,9.563292,10.082010
2026-04-21,987.2121,7.221719,2.937235
2026-04-21,287.0945,1.246347,-5.076044
2026-04-21,580.1861,8.771680,6.662268
2026-04-21,13012.0132,0.257533,2.360089
2026-04-21,1727.4140,7.579757,6.012254
2026-04-21,3919.2066,5.031939,5.031939
2026-04-21,1324.8561,3.183904,10.338017
2026-04-21,8932.5236,-0.809955,0.825722
2026-04-21,3960.8371,3.257056,1.311496
2026-04-21,230.7985,7.442203,5.277771
2026-04-21,15.9691,6.967601,5.234208
2026-04-21,1041.5954,1.491948,-1.273849
2026-04-21,11425.8553,3.874963,6.260451
2026-04-21,504.4846,-0.608118,1.030729
2026-04-21,1403.4491,4.388171,4.388171
2026-04-21,709.2065,8.668631,3.597096
2026-04-21,8022.7941,3.726246,3.726246
2026-04-21,57.8495,9.160713,9.074388
2026-04-21,392.3339,0.847589,3.655764
2026-04-21,20004.8890,12.849224,8.612260
2026-04-21,49.2802,-1.215278,-1.301913
2026-04-21,586.5310,-5.358258,-1.399616
2026-04-21,5865.7873,7.085865,7.688549
2026-04-21,1850.9360,2.757631,4.416515
2026-04-21,39.0477,5.952385,-2.405816
2026-04-21,168.7519,2.292057,5.535729
2026-04-21,1678.6046,3.392864,5.984108
2026-04-21,24.9300,2.993001,2.000484
2026-04-21,8352.4896,2.786547,-5.191854
2026-04-21,3472.7604,1.254311,0.001658
2026-04-21,150.1627,7.485963,6.146579
2026-04-21,11.4361,9.932289,10.234886
2026-04-21,11523.6305,11.908519,17.144763
2026-04-21,2099.5806,1.341903,3.699348
2026-04-21,578.4175,8.255358,8.255358
2026-04-21,760.5209,-0.555871,-1.202756
2026-04-21,6233.8564,2.188908,3.226642
2026-04-21,3911.1805,1.796153,2.965024
2026-04-21,1179.8487,-1.283406,3.839442
2026-04-21,80.8591,7.268269,8.423798
2026-04-21,4683.1621,-0.579767,1.018235
2026-04-21,22898.0883,4.047713,-3.028105
2026-04-21,129.2291,2.553146,4.409687
2026-04-21,92.7312,0.483903,-1.315268
2026-04-21,5058.1195,8.431741,4.650384
2026-04-21,509.2443,9.909194,12.323774
2026-04-21,1313.8755,0.636369,0.936201
2026-04-21,4613.2957,1.875699,17.558382
2026-04-21,876.9387,0.494177,-0.575967
2026-04-21,114.8170,0.717654,6.145993
2026-04-21,104.6416,6.639328,8.836140
2026-04-21,10005.8533,10.277183,10.766572
2026-04-21,9396.5508,-0.167269,0.694166
2026-04-21,470.6483,-0.050074,-2.851964
2026-04-21,172.3512,0.932307,-2.111321
2026-04-21,11026.4214,11.309014,8.803986
2026-04-21,151.8065,6.027582,13.289308
2026-04-21,115522.4831,10.151493,7.266064
2026-04-21,1479.6389,0.614279,-1.150347
2026-04-21,231.5316,4.997913,6.638217
2026-04-21,2885.0850,5.902686,5.902686
2026-04-21,2.9993,2.365611,-0.495271
2026-04-21,4318.3749,2.567419,2.740409
2026-04-21,8968.8726,-0.069864,7.871400
2026-04-21,64.0986,3.111137,0.293812
2026-04-21,75.3026,4.438843,17.662051
2026-04-21,13841.2439,2.053930,0.936233
2026-04-21,6421.4063,3.593417,5.800975
2026-04-21,18508.8236,11.540315,10.518647
2026-04-21,12737.7000,1.905010,0.998249
2026-04-21,17745.0222,1.072594,4.889913
2026-04-21,1089.3605,9.397345,7.842142
