usd_amount,markout_bps
177.7141,0.029274
71.8948,-4.029598
180.0557,-4.017722
426.0949,1.732968
0.6995,0.656966
16.6013,0.219753
277.1777,0.233611
2061.7924,-1.341448
1120.6889,-0.005616
47.2213,0.002229
74.0689,1.110003
1002.2391,0.623740
40.0280,-2.435373
188.8082,1.768749
1673.4413,3.067793
263.4566,-0.966935
40.7281,-1.588276
176.4457,1.562772
156.9985,-0.106094
57.9285,0.002726
174.8510,2.658992
314.5269,2.682043
4.9595,-0.272758
4176.9414,-4.544363
1119.2423,-1.606200
89.9841,0.921350
5440.2432,3.241699
331.7506,2.046675
52.9146,-4.444926
650.0258,-4.773084
39.6994,2.729131
96.5615,2.695101
563.6148,7.399387
49.4514,0.386978
1484.3740,1.541313
2499.0626,1.454223
249.4154,5.773603
52.0061,4.149935
39.2343,5.539795
763.5327,2.115949
500.3760,2.175240
150.3023,0.667425
5347.2458,2.360345
20802.9459,3.236394
99.9696,2.275381
118.5328,-1.422580
689.9862,0.757886
4509.9490,0.058072
406.6341,-4.157975
389.2691,-4.120680
9053.0670,-3.678259
275.4747,-4.568642
1001.2882,-4.508840
20.9553,2.926654
22.7116,1.549062
51.3848,-0.186592
2039.4588,4.267803
1924.6143,-0.981994
691.0792,2.381287
167.9189,2.504251
1.1282,6.855861
347.8203,0.016320
90394.7786,4.272085
980.0391,3.075954
436.9742,3.437168
49.6475,2.051362
741.0648,0.415636
5004.9702,3.182975
79282.0215,10.930548
338.3715,-1.242681
39.5117,0.001854
441.9912,2.693273
9664.5986,4.921080
33628.5262,8.456797
27259.1107,1.507564
51.3853,6.397058
1537.9197,6.471700
5949.3968,1.322696
233.1323,1.612700
14.9724,1.624317
128.2791,-1.209606
24.9963,-0.636394
577.1645,0.027072
712.4634,-2.225938
12.3235,2.588628
49.9784,1.772253
1275.6452,2.164483
3.4957,-1.210492
9.0672,4.838177
207.4543,-3.646041
942.7492,2.845832
240.3501,3.064590
592.5026,2.054156
9.4498,2.082408
49.9571,-1.334035
4.1725,6.595215
51.0126,1.269190
239.7637,-0.477782
650.3749,3.742598
108.7696,4.597299
1615.2262,7.626586
333.0290,7.718100
250.1234,9.789755
7681.8995,10.162510
2.9772,0.000078
19.5395,0.000919
14163.5965,2.136143
1435.2459,2.867815
106.1441,2.940106
1570.4603,3.312236
3277.1791,3.683226
741.0385,0.034763
48.6216,0.071813
1143.2617,-2.834576
138438.8256,8.652746
99.1021,-3.079654
633.8152,4.172031
38.4541,4.203621
1013.1311,3.491352
985.6751,3.585149
1901.6564,-5.566831
38.5879,-5.475720
309.3384,-5.459372
40.9496,1.355341
3734.1532,3.492775
224.3606,3.678585
11.4926,1.774261
5858.0187,2.174941
1987.7255,1.324203
21.7532,1.418487
22.2291,1.420575
1.8188,0.000087
133631.6812,6.274058
83.7025,1.701669
26340.3921,0.316288
9.1023,0.955019
5.9986,-1.363391
3828.0646,1.038486
9.1368,-4.121623
1.1063,-4.121236
1.0927,-4.120950
193.8403,-0.871310
908.6312,0.084432
89.7579,0.131200
937.6730,0.043951
6.3230,-2.134304
111.9788,0.474030
19.9802,0.480214
40.0559,-1.054657
201.4149,2.175236
44.1025,2.186754
1543.7947,0.718193
172.8566,1.601801
95.4502,1.214620
105.0032,2.250899
161.2000,2.263390
126.7068,1.626755
98.9146,0.848535
485.4800,3.327236
1.9257,4.123574
227.7166,1.900723
499.3871,2.530838
2359.2794,4.012662
5423.6137,1.808310
14.9812,0.405424
29.3923,0.523968
40086.9115,-0.098247
15.8217,-1.139023
617.7187,1.677527
9.9948,-6.321496
2389.5354,3.827713
712.4100,1.593279
5510.1113,-5.888048
90.4332,0.290987
1216.7165,0.017785
39897.8115,6.385140
3240.9876,5.291108
74.1529,0.556156
27.2230,-2.084093
10713.8016,13.528759
89.2000,14.037402
1957.4424,2.880957
317.7207,2.987740
1123.0024,2.205358
299.6318,-2.571632
4.5982,2.646579
482.4959,2.669452
73.0081,-2.000460
89.8089,-1.992822
20.6862,-1.252730
410.4395,-0.112847
978.0571,0.832279
77.2916,0.881719
32.0356,6.124217
5320.4383,8.465378
0.4859,2.787584
992.6274,-0.126272
1431.5695,-6.629539
12166.7893,4.837270
102.8298,6.365612
582.0697,0.079419
126.8265,-5.341657
247.9788,-0.378292
150.4644,-3.584884
174.2323,4.518757
141.0147,-2.412150
109.6445,4.683399
277.7832,2.621278
19146.4341,9.275775
3293.3521,-12.563355
15.2167,6.196665
21639.2684,5.225136
24.9831,-4.187369
100.0702,-7.099488
463.0530,1.860647
2251.8487,5.670376
1097.5329,-3.050802
92.1096,0.394194
99.9000,-0.887602
0.2313,5.251465
404.6817,1.336239
326.7776,-0.454199
11777.9157,9.643620
578.0631,0.027157
49.7358,0.978003
728.3933,0.893641
449.9139,0.949002
317.0057,-0.490180
34.9919,0.644611
116.2827,-0.718455
441.8963,0.311224
179.9663,0.373523
5491.3297,1.756542
1509.6900,0.309577
421.4675,0.400293
7649.2132,3.986137
10359.9578,5.876965
72732.4582,6.448636
954.0476,3.265116
40.1782,-2.535405
248.9796,3.116563
3392.4765,0.254792
9435.9013,4.198980
1569.7285,4.269321
1048.3950,1.388657
17.7737,1.438706
44.9915,0.002117
100.0238,-1.906957
