metric,markout_15s_bps,markout_next_bps
n_swaps,8963,8963
usd_total,428382035.58,428382035.58
mean_per_swap,0.213,0.734
mean_usd_w,-2.968,-2.115
std_per_swap,5.428,3.547
p1_per_swap,-14.166,-6.761
p2_per_swap,-10.798,-5.004
p5_per_swap,-7.042,-3.185
p10_per_swap,-4.630,-2.134
p25_per_swap,-2.025,-0.911
p50_per_swap,-0.080,0.076
p75_per_swap,2.366,1.310
p90_per_swap,6.430,5.740
p95_per_swap,9.142,8.314
p98_per_swap,11.390,9.770
p99_per_swap,13.333,10.605
p1_usd_w,-45.642,-23.589
p2_usd_w,-34.987,-19.446
p5_usd_w,-14.985,-9.954
p10_usd_w,-9.726,-6.049
p25_usd_w,-4.390,-2.979
p50_usd_w,-1.494,-1.236
p75_usd_w,0.671,-0.063
p90_usd_w,3.703,1.136
p95_usd_w,6.791,3.371
p98_usd_w,10.950,8.558
p99_usd_w,15.163,11.755
