tx_hash,block_timestamp,size_usd,n_legs,n_distinct_pools,side,n_distinct_sides,fee_tier_sample,effective_exec_usdc_per_weth,pool_mid_pre_blended,fair_price_blended,fair_coverage_frac,fair_lag_price,observed_spread_pool_bps,observed_spread_fair_bps,observed_spread_fair_lag_bps
0x826c6103dd26153c6077acfa26aea342f58b59c75f3cdd4f9b12f4f58b647422,2026-04-21 00:10:59+00:00,29.7388619775,1,1,1,1,100,2316.7349653617857,2316.4992443987303,2316.4306189935414,1.0,2316.2805356973117,1.0175740986119408,1.313859201086414,1.9618938961432253
0x0572397f108714e1f2a79ee64296a108114d33727ecad766aa99f21e1fa56846,2026-04-21 00:33:59+00:00,1982.5907985,1,1,1,1,100,2317.608028639417,2317.107699904947,2317.4380037120236,1.0,2317.36796554122,2.1592813078597217,0.7336762714740472,1.0359299937112196
0x392eec0057da07bf3b7ff3d7df04aec701bdc9d7c361808d899339117a6fd2d5,2026-04-21 01:10:47+00:00,148.69503845625,1,1,1,1,100,2325.93744840888,2325.68467124198,2324.415050352946,1.0,2324.445067012192,1.0868935502108061,6.549596448804723,6.420377138042011
0x32b23e8c69dd8fdcb48cc65cf68b06eac9a0254f42e4922bebabca9e918b6351,2026-04-21 01:24:11+00:00,4316.122009291885,1,1,1,1,100,2320.407635145969,2319.5906178979294,2320.9131067742596,1.0,2321.573473277669,3.5222475972071345,-2.1778998395732296,-5.0217584974996194
0x6deb2ad7918f644ddeee9b9904c79517d9059d850455adcf8505383a8dcbe0a4,2026-04-21 01:33:59+00:00,3410.053096926951,1,1,-1,1,100,2325.8798717654363,2326.5753988307492,2327.5667995737635,1.0,2327.416716277534,2.989488609148411,7.247602125258764,6.603220219864991
0xf0f3b42152a40e88162aaa88a5cb4d40a227635a19ef57302aa02478ace8c935,2026-04-21 02:01:59+00:00,225.866745384225,1,1,1,1,100,2313.645552090148,2313.383213936149,2313.322026945224,1.0,2313.532145662299,1.134002150698243,1.3985305165288766,0.49018738754771374
0x2cc982c49e15901d3c55efed35a3d680e3aaa14d5af8196aa89527cebe53bc1b,2026-04-21 02:11:23+00:00,991.31443125,1,1,1,1,100,2312.325148929884,2311.9580528521997,2312.501563383312,1.0,2311.2139480201117,1.5878146112190934,-0.7628727963737802,4.807866925190039
0x9f0e81a27bc141f2b8fc1dedc0c20dedad7b48b1b66e033c4214a2b9f029a92e,2026-04-21 02:11:59+00:00,2410.01158857162,1,1,-1,1,100,2311.8542531140138,2312.4158291476847,2312.632258258168,1.0,2312.1050972780163,2.4285252963257227,3.364154164052442,1.084916789889066
0x08bf95ec1fa76083155e5f2c54684c459dae1db52b17d2d8a928e2dbe91dae7e,2026-04-21 02:14:11+00:00,118.273834299555,1,1,1,1,100,2311.259741273703,2311.012401188552,2311.301546327285,1.0,2311.42161056165,1.0702672344991715,-0.18087234722029386,-0.7003018713994971
0x04aee71192e244c7c95e03961e27d6eeac40226ac406b926bf7cf5225d0cabdb,2026-04-21 02:36:11+00:00,319.46522589003,1,1,-1,1,100,2311.0676718462532,2311.342586769783,2311.5278979833806,1.0,2311.487875771053,1.189416597536315,1.9910040347291604,1.8178937004358633
0xb99ca286bf05409011c11a30cc7d9039cca8970504069e883cd3dea8fe6a3bd4,2026-04-21 02:40:59+00:00,2428.77840233523,1,1,1,1,100,2312.0054117607137,2311.4413738326143,2311.3377924748233,1.0,2311.3077758155778,2.4402000175509073,2.8884539856701545,3.0183602220167347
0x66be3450e6537c1f566b795ff84ac8ca6f929ff7a6722eb1dba0293cb47bd1be,2026-04-21 03:04:11+00:00,704.980245028134,1,1,-1,1,100,2304.231635903308,2304.558585247676,2305.980939039948,1.0,2305.120444255447,1.418707020342437,7.585939272197775,3.85580004877492
0xdf6d4cb2ec3778686e312277bb4e264e084da2a9eaf6f0e0e30dc50052501496,2026-04-21 03:06:11+00:00,847.8752494427448,1,1,-1,1,100,2306.1756548267153,2306.5224070984536,2307.2316582034673,1.0,2305.500662881157,1.5033553139182454,4.576928255111669,-2.927745614762802
0xfa5c9e99c83c2692ddd3ff6075b01cab1f674118c0a7ed463f4b4075f7994cde,2026-04-21 03:07:59+00:00,1007.468185649215,1,1,-1,1,100,2306.177630258805,2306.5462382997443,2306.9214798509142,1.0,2306.5912899917453,1.598095172854736,3.224425272407934,1.793381145307769
