pct,reg1_bps,reg2_bps,reg3_bps,reg4_bps,reg5_bps
0.0,-29.4860,-33.2174,-41.2353,-70.7521,-372.7013
0.2,-6.9951,-9.5551,-12.0867,-16.0006,-32.4272
0.4,-6.0201,-8.1179,-10.1902,-13.4351,-25.3353
0.6,-5.4357,-7.3321,-9.2234,-11.9949,-21.8589
0.8,-5.0347,-6.8446,-8.5861,-11.1882,-19.8399
1.0,-4.7583,-6.4736,-8.0964,-10.5092,-18.4021
1.2,-4.5047,-6.1363,-7.7094,-9.9680,-17.3095
1.4000000000000001,-4.3070,-5.8809,-7.3768,-9.5612,-16.3652
1.6,-4.1244,-5.6494,-7.0826,-9.2249,-15.6321
1.7999999999999998,-3.9832,-5.4623,-6.8510,-8.8924,-14.9928
2.0,-3.8471,-5.2923,-6.6334,-8.6258,-14.4361
2.1999999999999997,-3.7255,-5.1341,-6.4366,-8.3616,-13.9261
2.4,-3.6087,-4.9964,-6.2575,-8.1431,-13.4721
2.6,-3.5052,-4.8615,-6.0956,-7.9424,-13.0540
2.8000000000000003,-3.4118,-4.7474,-5.9495,-7.7445,-12.6944
3.0,-3.3250,-4.6356,-5.8178,-7.5732,-12.3591
3.2,-3.2427,-4.5282,-5.6892,-7.4083,-12.0472
3.4000000000000004,-3.1670,-4.4321,-5.5750,-7.2407,-11.7678
3.5999999999999996,-3.0933,-4.3373,-5.4674,-7.0966,-11.5068
3.8,-3.0211,-4.2516,-5.3623,-6.9537,-11.2527
4.0,-2.9628,-4.1693,-5.2621,-6.8269,-11.0180
4.2,-2.8968,-4.0859,-5.1637,-6.7069,-10.8039
4.3999999999999995,-2.8392,-4.0132,-5.0730,-6.5899,-10.5951
4.6,-2.7852,-3.9489,-4.9843,-6.4803,-10.4007
4.8,-2.7283,-3.8776,-4.8975,-6.3774,-10.2109
5.0,-2.6813,-3.8158,-4.8172,-6.2724,-10.0350
5.2,-2.6290,-3.7535,-4.7407,-6.1726,-9.8687
5.4,-2.5856,-3.6924,-4.6670,-6.0658,-9.7046
5.6000000000000005,-2.5392,-3.6358,-4.5950,-5.9829,-9.5393
5.800000000000001,-2.4920,-3.5754,-4.5274,-5.8970,-9.3941
6.0,-2.4511,-3.5251,-4.4627,-5.8067,-9.2498
6.2,-2.4095,-3.4752,-4.3981,-5.7267,-9.1059
6.4,-2.3685,-3.4232,-4.3364,-5.6508,-8.9705
6.6000000000000005,-2.3301,-3.3735,-4.2749,-5.5689,-8.8402
6.800000000000001,-2.2887,-3.3226,-4.2161,-5.4958,-8.7115
7.000000000000001,-2.2531,-3.2758,-4.1578,-5.4237,-8.5872
7.199999999999999,-2.2193,-3.2340,-4.1025,-5.3542,-8.4655
7.3999999999999995,-2.1818,-3.1874,-4.0467,-5.2827,-8.3526
7.6,-2.1457,-3.1446,-3.9990,-5.2165,-8.2434
7.8,-2.1093,-3.1009,-3.9508,-5.1545,-8.1357
8.0,-2.0754,-3.0603,-3.9000,-5.0843,-8.0273
8.200000000000001,-2.0441,-3.0219,-3.8545,-5.0254,-7.9245
8.4,-2.0149,-2.9846,-3.8075,-4.9709,-7.8247
8.6,-1.9908,-2.9476,-3.7637,-4.9058,-7.7262
8.799999999999999,-1.9652,-2.9096,-3.7171,-4.8518,-7.6339
9.0,-1.9366,-2.8694,-3.6705,-4.7928,-7.5334
9.2,-1.9091,-2.8332,-3.6265,-4.7391,-7.4420
9.4,-1.8794,-2.7978,-3.5832,-4.6860,-7.3520
9.6,-1.8548,-2.7631,-3.5417,-4.6308,-7.2636
9.8,-1.8276,-2.7299,-3.5034,-4.5778,-7.1736
10.0,-1.8022,-2.6949,-3.4651,-4.5282,-7.0864
10.2,-1.7766,-2.6622,-3.4242,-4.4788,-7.0066
10.4,-1.7495,-2.6274,-3.3839,-4.4304,-6.9256
10.6,-1.7258,-2.5968,-3.3451,-4.3800,-6.8490
10.8,-1.7021,-2.5670,-3.3071,-4.3320,-6.7732
11.0,-1.6770,-2.5358,-3.2695,-4.2872,-6.6970
11.200000000000001,-1.6543,-2.5063,-3.2304,-4.2371,-6.6232
11.4,-1.6315,-2.4784,-3.1946,-4.1906,-6.5544
11.600000000000001,-1.6093,-2.4480,-3.1583,-4.1451,-6.4807
11.799999999999999,-1.5875,-2.4209,-3.1227,-4.0998,-6.4072
12.0,-1.5666,-2.3918,-3.0876,-4.0582,-6.3346
12.2,-1.5438,-2.3636,-3.0526,-4.0148,-6.2676
12.4,-1.5246,-2.3376,-3.0218,-3.9775,-6.2006
12.6,-1.5056,-2.3098,-2.9931,-3.9386,-6.1342
12.8,-1.4868,-2.2839,-2.9627,-3.8957,-6.0717
13.0,-1.4689,-2.2602,-2.9311,-3.8572,-6.0081
13.200000000000001,-1.4464,-2.2346,-2.9002,-3.8177,-5.9481
13.4,-1.4283,-2.2093,-2.8689,-3.7805,-5.8862
13.600000000000001,-1.4080,-2.1838,-2.8379,-3.7405,-5.8257
13.8,-1.3908,-2.1587,-2.8079,-3.7025,-5.7633
14.000000000000002,-1.3719,-2.1337,-2.7777,-3.6658,-5.7074
14.2,-1.3527,-2.1071,-2.7488,-3.6285,-5.6522
14.399999999999999,-1.3338,-2.0820,-2.7201,-3.5902,-5.5923
14.6,-1.3153,-2.0583,-2.6920,-3.5568,-5.5360
14.799999999999999,-1.2988,-2.0342,-2.6634,-3.5179,-5.4783
15.0,-1.2812,-2.0138,-2.6364,-3.4824,-5.4238
15.2,-1.2614,-1.9942,-2.6085,-3.4476,-5.3691
15.4,-1.2445,-1.9759,-2.5821,-3.4114,-5.3157
15.6,-1.2258,-1.9553,-2.5555,-3.3780,-5.2606
15.8,-1.2090,-1.9337,-2.5296,-3.3424,-5.2075
16.0,-1.1931,-1.9124,-2.5036,-3.3115,-5.1560
16.2,-1.1745,-1.8904,-2.4780,-3.2780,-5.1027
16.400000000000002,-1.1583,-1.8696,-2.4505,-3.2453,-5.0501
16.6,-1.1425,-1.8485,-2.4242,-3.2122,-5.0013
